一行出去就係泳池，再行出啲就係沙灘。	一行出去就係泳池，再行出Ｄ就係沙灘！
咁 ， 我哋再返返去地鐵站 健怡可樂嘅設計出嚟之後 佢哋做咗海報	好 ， 現在讓我們回到地鐵站 ， 這個東西出現之後 ， 我拍了一些照片 。
係咩？	是嘛？
收購公司	接管一家公司
即係好平淡，個個都好似，誒，其實一樣。	就是很平淡，每個人都像，淘氣，其實一樣。
係啦，你哋一個⋯⋯好似中意⋯⋯嗰個咩……哦，Eason，一個呢，就中意嗰個⋯⋯黎明。	對了，那時候你們一個喜歡陳奕迅，一個喜歡黎明。
隻貓𢱑爛張梳化。	貓抓破了沙發，把它弄壞了。
幫隻豬髹顏色吖。你會用邊隻顏色筆呀？	讓我們給豬上色吧。 你要用哪種顏色的鉛筆？
其實抽佣係非常正常嘅，因為我哋公司有投放資源做嘢，同埋食水都唔深。	事實上，收取佣金是非常正常的。 因為我們公司已經投入了資源去做事情，我們也沒有賺取不合理的利潤。
撞啱	碰巧
彈道導彈	彈道式導彈
眼尾	眼角
中階	中級
不在場證明	不在場證明
有啲細路仔將啲泥撻落埲牆度。	一些孩子在牆上抹了一些泥。
信肉	信紙
未扱過印嘅，二百幾蚊一個，好似過成過萬蚊，一版，好似係？係唔係呢？好犀利啊，總之個八嗰隻係非常非常之。所以我而家諗起啲個八郵票，我猛咁寄，猛咁寄晒佢嗰陣時啲-	沒雁過印的，兩百多塊一個，好像過成過萬元，一版，好像是？是不是呢？很厲害啊，總之個八那只是非常非常的。所以我現在想起點個八郵票，我不斷地寄，不斷地寄了他的時候點-
即係業內人士喇。	就是業內人士了。
時移世易被接受	時移世容易被接受
玩廿一點唔好爆煲。	在玩 21 點時，不要越過限額和破產。
係喇。唔知係唔係年年呢啲finalyear嗰啲學生呢都會噉嘅呢？	對了。不知道是不是每年這些 finalyear 那些學生呢都會這樣的呢？
吓？喬峰個老豆？喬峰有老豆𡃉咩？	啊？喬峯的父親？喬峯有父親嗎？
嗯，係喇，佢就係靠，即係睇咗嘞，重係親眼睇咗嘞，噉佢就信嘞。不過耶穌又點講啊？	嗯，是啦，他就是靠，就是看了，還是親眼看了，那他就信了。不過耶穌又怎麼說啊？
?痕?到隻腳損晒	？痕跡？得只腳破了
香港國際馬匹拍賣會	香港國際拍賣會，由香港賽馬會舉辦的純種馬拍賣會
大堂裡面仲有其他人	那裡還有其他人 。
橫掃千軍	橫掃千軍
親	親自
錢就唔夠㗎喇，不過我盡做啦。	錢是不夠的，但我會盡力而為。
佢係病君嚟，入醫院就好似翻屋企噉	他是個老病號，進醫院就像回家一樣
有納斯卡線條 同令人驚歎嘅紡織品	它有納斯卡線 和美妙的紡織品 。
精英主義	精英主義
噉你有冇-	那你有沒有-
公司決定加碼投資房地產市場。	公司決定加大對房地產市場的投入。
另一方面 ， 政府又將伺服器留喺北京 方便隨時監控	另一方面 ， 政府又希望把伺服器留在北京 這樣政府便能隨時取得他們需要的資訊
你覺得佢好光滑 ， 但實際上唔係	你覺得它很光滑 ， 不過實際上不是
可以跟網民做法	可以跟網民做法
你-你唔係乜嘢。廣州都冇電視台-都冇上電視喇，冇播廣州點樣熱烈慶祝嗰啲嘢喇。有冇我唔知，但係你-佢已經電視都冇可以播，淨係播北京，噉你話可想而知係咪-係咪…	你-你不是什麼。廣州也沒有電視臺 - 都沒上電視了，沒播廣州怎麼熱烈慶祝那些東西了。有沒有我不知道，但是你-他已經電視也沒有可以播，只是播北京，那你說可想而知是不是-是不是...
細個嗰時，我最鍾意打遊戲機。	小時候，玩遊戲機是我最喜歡的娛樂方式。
女人之家	婦人家
後嚟 ， Twitter 嘅出現 令事情變得更加神奇 我可以喺任何地方提出任何要求	之後有了 ” 推特 ” 事情變得更神奇 ， 因為我可以馬上 在任何地方尋求任何東西
趯咗去邊	跑到哪裡去了
阿媽三番四次提我做功課。	媽媽一遍又一遍地提醒我做作業。
家庭	家庭
米飯同粉麵都一樣咁飽肚。	米飯和麵條同樣可以充飢。
如果有合適嘅自由使用素材當然完美	如果有合適的自由使用素材當然完美
我有百一蚊。	我有一百一十美元。
大丸？	大丸？
頂帽	那頂帽子
佢冇偷嘢啊！	她沒有偷東西！
佢趕唔切煞車，所以撞咗前面架車。	他沒能及時剎車，撞上了前面的車。
我好鍾意食甜品，譬如話朱古力蛋糕同馬卡龍。	我喜歡吃甜點，例如巧克力蛋糕和蛋白杏仁餅乾。
喂噉你姑姐呢有冇幫我哋買嗰啲CD啊？	餵你姑姑呢有沒有幫我們買那些 CD 啊？
只借用漢字義、用壯話讀完全兩樣嘅字，比較少有。	只借用漢字之意義、用壯語讀完全不同音的字。一般來講，不如新造形聲字的方便，訓讀的例字不多。
傷勢嚴重	受重傷
佢喺度用佢嘅方式 講英文	他也以他的方式說英語 。
行落去。	走下去。
手提行李	手提行李
紓緩措施	救援包
你畀唔畀啲細路仔睇電視啊？	你讓孩子看電視嗎？
朝早	大清早兒
跨境運毒	跨境走私毒品
呢個暴君對待民眾，真係無所不用其極。	這個暴君虐人不擇手段
但係哩張都算係攝影咩 ？	或者說 ， 它算是攝影嗎 ?
左上	左上
呢場戰爭，大約有一千個士兵陣亡。	大約一千名士兵在這場戰爭中喪生。
劏魚	殺魚
由得佢喇	隨便他吧
再嘈落去是必攪到大家唔高興。	再吵下去，肯定會引起大家的不快。
因為佢同老公都執包袱，所以打算返鄉下耕田。	因為她和丈夫都被辭退了，打算回鄉務農。
世上	世界上
條公路嘅工程項目包括	條公路的工程項目包括
做兄弟嘅幫你鯁咗呢單嘢啦。	這次我會替你做這份工作，兄弟。
四點一個字	四點五分
還有 , 你不可以忽略不理性的事情 .	還有 , 諸位不能漠視無理的事 。
嘿，好慘𡃉喎。	嘿，很慘嫋啊。
樂得清閒	為自由而高興
照會	知會
雙下巴	雙下巴
係啊。都係𠸏。	是啊。都是淘氣。
佢兩兄弟原來冇血緣關係。	原來，兄弟二人並無血緣關係。
佢哋想嘭我扯。	他們想把我趕出去。
MSC？	MSC？
之後 30 年 （ 即 90 年代 ） 我畢咗業 想自己創業 即使我成身債 ， 得一張信用卡 而且對車輪行業冇任何認識同經驗	所以 ， 快轉三十年後 ， 我畢業了 ， 我想開創自己的事業 ， 但卻背著一堆負債和一張信用卡 ， 完全沒有輪胎產業的經驗 。
通過交流，兩地學生加深咗了解。	通過交流，兩地的同學們有了更深入的了解。
歸功於	歸功於
啲橙再唔食就爛㗎喇。	如果你不盡快食用橙子，它們就會變質。
西貢仲有唔少漁民。	西貢仍有許多漁民。
就係有大鑊嘢囉	就是有麻煩東西了
叫佢認真諗諗	叫他認真考慮考慮
市民請聽從警方指示。	市民請服從警方的指示。
黃牛黨	投機倒把者
星君仔	非常調皮的小孩
見到索女痰上頸。	暗戀一個漂亮的女孩。
呢個人形嘅身體斷開兩截	這是一個分裂成兩半的身體 。
架勢	夠排場
對襪臭崩崩，拎去洗啦。	襪子有臭味，拿去洗一洗吧。
佢問太太，你買咗乜皮袋咁巴閉會一口氣碌爆咭啊？	他問老婆：你買什麼皮包，威風八面，一口氣刷爆你的信用卡？
藍色係留歐 紅色係脫歐	藍色地區的想要留下 紅色地區的想要離開 。
說白點是他想退也不能	說白點是他想退也不能
你真係衰嘅啫，我唔睬你！	你真壞，我不理你！
但係你出邊嗰啲就平好多，你睇嗰啲乜嘢《忽然一周》嗰啲呢，	但是你外面那些就便宜很多，你看那些什麼《忽然一週》那些呢，
老屎忽	老屎忽
佢講啲嘢好露骨！	他經常暢所欲言。
我成個月冇睇新聞，覺得自己好似已經同個世界脱咗軌噉。	一個月沒看報了，感覺自己不屬於這個世界了。
之後導遊走咗 因為嗰次係 佢最後一次出海釣魚 同埋佢都知道海豚驚魚	這位嚮導緩緩的離開 ， 因為這趟 ， 是他的最後一次釣魚旅程 ， 而海豚的出現會把魚群嚇跑 ，
而家就講得好口，唔知第日點呢？	現在就說得挺好，不知道以後怎樣呢？
佢兩兄弟成日狗咬狗骨。個阿哥成年先去老人院探佢阿媽一次，一時唔偷雞就做保長，話個細佬不孝。	兄弟二人總是吵架。 年長的那個每年只去養老院探望一次他的母親，並且自以為是地稱他的兄弟為忘恩負義。
睇完𡃉嚹。	看完了。
插針落巴士啲凳度？黐線嘎？	在公交車座位上插針？ 太瘋狂了！
我哋唔應該姑息損害公眾利益、威脅市民安危嘅暴力。	我們不能容忍損害公共利益、威脅公民生命安全的暴力行為。
王敏德	王敏德
青睞有加	偏袒某人
唔好再講啦	不要再說了
其實蘇眉唔值得咁嘅價錢，係大陸人食貴晒㗎！	事實上，駝峰瀨魚不值這個價錢。 都是大陸人吃的，所以貴的要命！
呢度冇人姓李嘅，你可能搭錯線。	這裡沒有人姓李，所以你可能撥錯了號碼。
（ 笑聲 ） 葛培理喺個海度 地平線嗰度係一達油污 仲有威利 、 仲有拉登嘅棲身之所 你肯俾心機去睇個海嘅話 你可以搵到好多騎呢嘅嘢	（ 笑聲 ） 葛培理牧師在這大海裡 ， 漏油事件的地平線 、 瓦多 、 賓拉登的藏匿處等 。 如果你認真看大海裡的東西 ， 就能找到各種奇怪的事物 。
到了現在，他們也該早已懂得，……	到了現在，他們也該早已懂得,......
減	減價
好碞磛	高低不平
聽佢枝笛，有乜着數啊？	聽從他的指示對我有什麼好處？
唔好畀啲生暴人入嚟。	不要讓任何陌生人進來。
見步行步	走一步看一步
偷雞唔到蝕渣米	偷懶不了蝕渣米
我仲記得上堂時我同男友係用寫紙仔溝通嘅。	還記得上課的時候我用筆記和男朋友交流。
啲細路真係冇時定，一眨眼就唔知去咗邊嘞。	孩子們活潑好動； 他們經常一眨眼就跑到天知道哪裡去了。
僱傭關係	雇主和僱員之間的關係。
食太多炸嘢會熱氣。	吃太多油炸食物會積聚“內熱”。
有啲乜嘢畀大家宵夜呀？	有些什麼東西給大家吃夜宵？
佢搞軭咗我哋個關係。	他破壞了我們的關係。
頂！部機又壞咗。	該死！ 該設備不再工作。
你哋快啲啦!三姐夫佢哋而家喺樂富站等緊你哋	你們快點吧！三姐夫他們現在在樂富站在等你們
唔好玩啦，心情唔靚呀	別鬧了，我心情不好
佢仿照畢加索嘅風格畫咗呢幅抽象畫。	他模仿畢加索的風格創作了這幅抽像畫。
傳統飲食係聞所未聞 ， 除非你本身係小數民族啦	民族食品是聞所未聞 ， 除非你是其他種族的人
你上司咁好相與，請半日假應該冇問題嘅。	既然你老闆為人隨和，我想你請半天假不是問題。
呢杯嘢加咗料，會飲到人暈佗佗㗎。	這種飲料是加了糖的，喝了可能會頭暈。
落格	獨吞
我唔知仲可以做得啲乜	我不知道還能能幹些什麼
佢份人太自私自利，唔識得同人分享。	他太自私了，不與人分享。
佢今次真係眼高手低，預計個營業額咁高，結果做得一半都唔夠。	他志存高遠，收效甚微，銷售預測過於樂觀，到頭來連目標都沒有完成一半。
大家閨秀	名門大小姐
呢個人高戙戙，似條電燈杉	這個人高高的，像根電線桿
而我哋可以解決嘅問題就只有 點樣用科技去取代石化燃料	那麼 ， 無庸置疑的 我們只能以科技 代替石化燃料以解決這個問題
乜咁橋呀？	怎麼這麼巧？
示威者用磚同鐵馬起路障。	抗議者用磚塊和可移動的柵欄搭建路障。
如果你笑緊 ， 你知我講緊咩	如果你笑了表示你懂我的意思
佢星期一煮意麵 因爲啲細蚊仔肯定食	雪若煮義大利麵 ， 因為她想要確保她煮的 是孩童會想吃的一餐 。
沒水	潛水
搭飛機話咁快去到啦。	坐飛機很快就到了。
一石激起千層浪	一石激起千層浪
畢律民分區（英文：Brodmann area）係一個分區系統，根據細胞結構將大腦皮層劃分為一系列解剖區域。神經解剖學入便嘅所謂細胞架構（英語： ） ，意指啲神經元嘅組織方式、喺染唨色嘅腦組織度觀察到嘅。	布羅德曼分區（英文：Brodmann area）是一個根據細胞結構將大腦皮層劃分爲一系列解剖區域的系統。 神經解剖學中所謂細胞架構，是指在染色的腦組織中觀察到的神經元的組織方式。
葉劉強調不滿有人多次要求將自己納入制裁名單	葉劉強調不滿有人多次要求把自己納入制裁名單
適合最近需要購買服飾之人士	適合最近需要購買服飾人士
監聽	監聽
流浪貓喺林村社山路嘅垃圾桶搵野食	流浪貓在林村社山路的垃圾桶找東西喫
你FF少陣啦，你咁嘅樣又邊會有女呀？	別做白日夢了，你怎麼能得到長著你那張臉的女孩？
而家三號風球喇	現在三號風球了
依家興懷舊，啲文青反而鍾意著到成個婆仔咁。	現在復古很流行。 那些潮人更喜歡穿得像老太太。
沙士期間，有幾位醫護人員不幸染病而殉職。	非典型肺炎爆發期間，數名醫護人員染病不幸離世。
佢係河邊吸水	他是河邊吸水
所以撒迦利亚噶事对我来讲意味住好多野 。	所以和Zacharias的故事實在是太過深刻了 。
求神拜佛	向上帝祈禱
架車副engine打咗柴。	汽車的發動機壞了。
搭路	通融
落緊雨仲要趕住去西營盤奇靈里打乒乓波	下着雨還要趕着去西營盤奇靈裏打乒乓球
啦啦聲啦，就嚟夠鐘喇！	動作快點兒，時間快到了！
過埠	出洋
一口價十蚊	實價十塊
我賣畀你嘅全部係堅嘢。	我賣給你的都是正品。
世藝	消閑活動
我哋飲開烏龍，飲唔慣普洱。	我們平時喝的是烏龍茶，喝普洱茶不習慣。
唔好亂咁吠	別胡說八道
高form	高級表格
啲人點激佢都唔嬲，佢真係濕水炮仗嚟！	他怎么生氣都不發脾氣。 好“濕爆竹”啊！
但係金星嘅大氣都會隨著時間逃逸 火星與地球都會	但是金星的大氣也會隨時間逃逸 ， 火星及地球也一樣 。
