炸彈同地雷比任何軍階大	炸彈和地雷比任何軍階大
但係對於治療阿茲海默症 總係停滯不前	但是醫治阿茲海默症 ， 還是停滯不前 。
擺放整齊	擺放得很整齊
個酒店職員會幫你電召的士去火車站。	酒店工作人員將為您叫出租車前往火車站。
唔出聲冇人話你啞。	不吭聲沒人說你啞。
整部電腦出嚟有好多繁複嘅工序。	生產計算機涉及復雜的程序。
軟	軟的
你喺過我屋企食飯未啊？	你在我家吃過飯嗎？
唔好嘈！	不要吵！
藥性子宮環	荷爾蒙宮內節育器
超	超過
有啲細路仔將啲泥撻落埲牆度。	一些孩子在牆上抹了一些泥。
肌肉伸展	伸展肌肉
哎哋！話都唔聽！	哼！ 你根本不聽！
化妝化到成個大花面咁，好樣衰呀！	你的臉被你的妝弄髒了。
民風淳樸	淳樸風俗
不過我想知你嘅決定係建基於你認為有關議員是否應該正式宣誓之後做，定話唔做？	但我想知道，你的決定是否建基於你認為有關議員是否應該正式宣誓？
男人老狗唔好咁多嘰趷！	大男人不要那麼礙手礙腳的
又有一大堆單程飛	又有一大堆單程飛
佢真係好正式。	她看起來真的很棒。
可能喇，唔知啊。	可能了，不知道啊。
乜	啥
纏腳娘	小腳女人
強硬	堅定
斷代史	朝史
大災難已經降臨喺大家身上。	大災難已經臨到我們了。
銀主盤	收回財產
都好喎	也好啊
一至四十九號既彩色號碼球	一至四十九號既彩色號碼球
有個老婆婆喺黃大仙翠竹街等緊小巴	有個老婆婆在黃大仙翠竹街等小巴
佢哋聽日去飲梅酌。	明天他們要去參加新郎家舉辦的宴會。
送上無言嘅祝福	給予無言的祝福
但我又覺得醫生嘅診斷唔係真嘅 但知識話畀我聽事實多數違反直覺 事實好容易被自己想相信嘅嘢矇蔽	我感覺實際並非如此 ， 但從我的訓練 我知道真理往往違反直覺 ， 因為我們想要相信而被遮蔽了 。
我只係簡單地講 ， 冇愛嘅世界是一個枯燥嘅地方	我要說的就是 ， 這世界若沒有了愛 ， 將是一片死寂之地 。
唔使炒股票呃。買馬一日一萬都可以變三十幾萬喇。	不用炒股票騙。買馬一天一萬都可以變三十幾萬了。
黑色唇膏唔係咁大路，冇乜人會買。	黑色唇膏不太受歡迎。 沒有多少人會買。
今日天氣好，梅窩游泳池出面九千幾人排緊隊。	今天天氣好，梅窩游泳池外面在九千多人排隊。
開片	開打
意念中希望嗰一部分 ， 意念中渴望嗰一部分 。	精神上想望和渴求的部分 。
女性主義	女權主義
番梘水好揦眼㗎。	肥皂水真的刺痛了我的眼睛。
往時坐電車一毫子㗎咋。	在過去，電車只要一毫。
啲飯咁硬，哽住個胃好唔舒服。	這米飯太硬了，我吃了之後肚子疼。
門檻	門檻值
星君仔	非常調皮的小孩
進度	進度
喇啩？	了吧？
香港並非位於熱帶，而係亞熱帶。	香港的氣候不是熱帶而是亞熱帶。
唉，好彩買咗，不過呢，下個月找卡數就死梗嚹。	唉，還好買了，不過呢，下個月找卡數就死定嚹。
同女朋友睇日出真係好浪漫呀！	和閨蜜一起看日出，多浪漫啊！
撲飛	四處想辦法找票
大眼雞	鱒魚
落咗髮泥之後，你要用手摷鬆個頭。	塗上髮蠟後，您必須用手梳理頭髮。
我唔記得帶鎖匙	我忘了帶鑰匙
我想知，喺九龍邊度有鬥蟀賣啊？	我想知道九龍哪裡有賣打架的蟋蟀
發錢寒	財迷心竅
駛唔駛幫拖？	用不用幫拖？
水塘	水庫
生猛	歡蹦亂跳
原本上年十一月搞嘅畢業禮，褪到而家先搞到。	原定於去年十一月舉行的畢業典禮延期到現在。
佢話去日本囖。	他說去日本。
（ 笑聲 ） 段片唔會播曬成個過程 到而家為止 ， 後邊仲有四個站	（ 笑聲 ） 這段影片並不會把所有的內容都顯示出來 同樣的事情在接下來的四站都發生了
條爛鬼臨走前揚言會返嚟掃場。	就在他離開之前，流氓威脅說要搞砸這個地方。
再望返最開頭倫敦嗰個公園 條捷徑並唔係一直响度	要是我們再回過頭來看 北倫敦的這條徑道 ， 鍾意路線並不是一直在那兒的 ，
呢個秘密聽日就會揭盅。	這個秘密將在明天揭曉。
呢幾套劇嘅情節都係大同小異，好鬼悶。	這些肥皂劇的情節大同小異，很無聊。
我身邊冇人識玩音樂。	我沒有朋友會演奏樂器。
紅事撞白事好唔吉利。	當幸福的時刻與悲傷的時刻相撞，就會帶來厄運。
善良	善良的
畫咗一筆	畫了一筆
佮計	共同策劃
入學試	入學考試
個天係唔會掉落嚟㗎	上天是不會掉下來的
琴晚我喺自己屋苑路上踏住架單車返屋企，着晒前後燈，對面架的士冇打燈，駛至我右前方時突然向我嘅左面轉入，好彩我停得切，否則俾撞硬！	昨晚我騎著腳踏車在小區的路上回家。 我的前後燈都亮了。 我對面的一輛出租車沒有打信號燈，在我右前方行駛時突然轉向我的左邊。 幸運的是我能夠及時停下來。 否則我會受到重創！
全部都跟香港嚟俾吖嗎。	全部都跟香港來給啊嗎。
學生哥	在學學生
牛頭褲	寬短褲
城鄉規劃	城市規劃
第二步就係如果我哋發現 一粒小行星撞向地球時	第二部 當然是在發現它們靠近我們時
你響前面轉入後巷行啦，鍘角咁行快好多㗎。	你可以轉入前面的車道，這是一條捷徑，可以節省很多步行時間。
奇連士文囖。	奇連士文唄。
肥仔	胖子
所以就有怪事發生 啲細路都發覺到	這有一點奇怪 ， 當然孩子們也注意到了 。
我唔理呢種林沈嘢	我不管這種麻煩事
喺近年大選嘅結果顯示，屬於阿地利港選區嘅摩臣湖係工黨嘅票倉。但係摩臣湖會喺2018年，改劃入卑利霍選區（英文：Playford）；就算係咁，卑利霍仍然係工黨嘅票倉。	近年大選結果顯示，屬於阿德萊德港選區的摩臣湖是工黨的票倉。但摩臣湖將會在2018年，改劃入卑利霍選區（英語：Playford）；儘管如此，卑利霍仍然是工黨的票倉。 票倉
翻身	翻身
創業初期 ， 我負責顧客服務 客戶電話會直達我手機	創業初期 ， 我負責客服 ， 那些來電會直達我的手機 。
整呢個蛋糕要50克嘅牛油。	做這個蛋糕，我們需要五十克牛油。
白酒煮青口	貽貝配酒
行山前記得搽蚊怕水。	記得在遠足前使用殺蟲劑。
諗好晒先寫	想好了再寫
呢個組織暗中支持佢哋嘅活動。	該組織秘密支持他們的活動。
你噉做係犯法個噃。	我認為你所做的是違法的。
孖	相連
佢話晒都係我大佬	他好歹也是我老大
化妝化到喬裝噉，真係阿媽都唔認得。	她化了很多妝，好像在偽裝。
有碗話碗有碟話碟	就事論事
眾所周知，北京填鴨係北京嘅名菜。	眾所周知，北京烤鴨是一道家喻戶曉的京菜。
你唔需要教人點樣去控制 Romo	你不需要教他人如何駕駛 ROMO 。
你太太正一係好人。	你老婆真是個好人。
我話唔緊要呃。	我說沒關係。
三道防線	三道防線
你唔食算數。	如果你不吃，那也沒關係。
噉你查起上來呢，就好方便嘞。	那你查起上來呢，就很方便了。
佢哋經已食咗飯喇，係唔係？	他們已經吃飽了吧？
天體海灘	天體海灘
你知唔知呀？	你知不知道？
包針	縫麻袋
香港城市大學電子工程系學士，喺2009年加入民建聯，依家係屯門區區議員，民建聯屯門支部主席、青年民建聯委員等職。由2016年起擔任區議員，任屯門交通及運輸委員會副主席。	香港城市大學電子工程系學士，於2009年加入民建聯，現擔任屯門區區議員，民建聯屯門支部主席、青年民建聯委員等職。由2016年起擔任區議員，任屯門交通及運輸委員會副主席。
係本地或者國家層面 我哋都要鼓勵更多嘅流動 、 參與 鼓勵同唔識嘅人 同睇法不完全一樣嘅人 有更多嘅交流	我們需要鼓勵地方甚至是國家層面 需要更多的活動 ， 更多的參與 更多的與我們不熟悉的人交流 那些與我們想法不同的人 。
女權抬咗頭幾十年。	幾十年來，女權主義一直是主流。
粒聲唔出	一聲不響
點解會有啲後生細仔生咗啲白頭髮出嚟？	為什麼有些年輕人會長白頭髮？
水乾	潮水退盡
畫畫應該係關於空間同光線	這是關於空間和光
倒不如	不如
你唔係見到有人喺街𠝹手咁邪啞？	你不是看見有人在街攤手這麼邪啞？
咪聽過隔籬	別聽錯了
嘩！我都成個月喇，真係可憐嚹。	哇！我也整個月了，真可憐嫋。
做乜買埋咁多唔等使嘅嘢啊？	為什麼要買那麼多垃圾？
係乜係物	是什麼
部門首長	部門主管
我今日好失望，原來我同佢廿幾年嘅友情真係紙咁薄嘅。	今天我很失望。 原來我與他二十多年的情誼，被輕視了，不值一提。
袋袋平安	心安理得
呢個睇法係錯架	這是錯誤的看法
噉頭先講到呢，就話同啲人聯絡喇。噉就即係成日追囖啲嘢。即係佢哋唔會自動自覺俾你𡃉。一定要你催啊，噉樣囖。	剛纔說到呢，就說跟人們聯絡了。那就就是經常追贓點東西。就是他們不會自動自覺給你贏。一定要你催啊，這樣。
佢只係個孩童，唔可以俾佢一個人留喺屋企。	他還是個孩子，不能一個人呆在家裡。
霧水夫妻	露水夫妻
對鞋放咗喺你個locker。	這雙鞋放在你的儲物櫃裡。
今日我踢波時，有人踢細佬，打人春子好痛啊。	今天我打球的時候，有人踢了我的雞巴。 讓你的堅果受到打擊真的很痛。
潮州人	潮州人，或祖籍潮州的人
我地翻閱咗我六個月嘅記錄	我們翻查了我 6 個月的日曆 。
實物圖	真實物體的圖像
後續	接下來
我想賣呢一拃書。	我想賣掉這堆書。
先生俾咗粒星佢獎勵佢幅畫。	老師因為她的畫給了她一顆金星。
但係唔會-唔會話有啲人唔鍾意，有啲人唔鍾意𡃉咩？	但是不會-不會說有些人不喜歡，有些人不喜歡嗎？
噉𠻺係。我琴日，誒，就另外再睇小倩喇去咗。	那是。我昨天，淘氣，就另外再看小倩了去了。
兩尺半呀？	兩尺半嗎？
你可以試吓呢部鋼琴嘅音色。	你可以試試這架鋼琴的質量。
擰轉頭就走	轉身就走
你可以睇到兩隻手套嘅分別	你也看到了 ， 這兩邊是不一樣的 。
要花啲時間去解釋 ， 不過就係咁嘞	在這很難解釋 ， 因為有一點技術理論 ， 但就是那樣
喺大廈天台度有三間僭建屋，各有獨立水錶及大門出入。	樓頂有三套違建房屋，每套都有獨立的水錶和進出大門。
太過學術性嘅人係…	太過學術性的人是 ...
清水白煠	淡而無味
催	催逼
香港選手而家喺比賽佔上風。	目前香港代表在比賽中處於優勢地位。
點都冇研究	怎麼都成
灣仔分店今日正式宣告開幕。	灣仔分行今日正式開幕。
唉！都唔知做乜鬼揞眼以為個期限係下個月。	呃哦。 不知何故，我認為截止日期是下個月。
條渠塞塞哋，揾水喉佬整整佢啦。	管道有點堵塞。 你應該找一個水管工來修理它。
整定	必然注定
烹酒煮茶	煮酒煮茶
噉又係，嗰啲嘩貴到。	那又是，那些哇貴得。
佢哋啲牙齒印浮晒面。	他們之間的仇恨已經出現。
唔好啊。哩啲咁technical，冇興趣啊。	不要啊。這些這麼 tchnical ，沒興趣啊。
樓下好似有明星唱歌，場面好墟冚。	樓下好像有星星在唱歌。 它是如此擁擠。
語言學同人類學都係跨領域學科。	語言學和人類學都是跨學科的研究領域。
向敵人射擊	射擊敵人
就算佢得罪過你，你都唔使打得咁狼死架！	就算他得罪了你，你也不用把他揍得這麼慘！
你有冇諗住買樓？	您有購買公寓的計劃嗎？
每年我都要同屋企人返大陸拜山。	每年我都需要和我在中國大陸的家人一起掃墓。
個演員突然間起飛腳。	演員突然踢了一腳。
你仲好意思講啟德郵輪碼頭?	你還好意思說啓德郵輪碼頭？
係啊，你知嚹，最後一年。	是啊，你知道嫋，最後一年。
行動裝置	移動設備
內部維修，暫時停業。	暫時關閉維修。
但係嗰陣時我，我喺屋企附近嗰個私家牙醫度洗呢，人哋起碼幫你洗洗成真係幾個字𡃉用，即係真係洗得好乾淨囖，你係感覺到佢真係好細心噉幫你做。	但是那時候我，我在家裏附近那個私家牙醫裏洗呢，人家起碼幫你洗洗成真幾個字參用，就是真的洗得很乾淨，你是感覺到他真的很細心地幫你做。
光陰似箭	光陰似箭
覺到	覺得
請由側門出入。	請從側門進出。
明英宗正統十四年（1449年）三月八號，黃等人就同其他嘅囚犯，一齊由廣州監倉度出逃，同時間攻破咗軍器局而攞到大量嘅裝備在手，隨即就起事，後敵唔過啲官兵而搭船出海，官兵就出咗三條戰船跟著追擊。到五月十三號黃等喺赤崗海口，成功伏擊咗追擊嘅官軍。	在明英宗正統十四年（1449年）三月八日，黃等人與其他囚犯一同由廣州大牢中出逃，同時間攻破軍器局獲得大量裝備，隨即起事，後不敵而乘船出海，官兵以三條戰船追擊。在五月十三日黃等於赤崗海口，成功伏擊追擊的官軍。
先頭佢嚟過，啱走冇幾耐	剛才他來過，才走不久
北角維港頌附近有無巴士站？	北角維港頌附近有無巴士站？
報道指香港有一千二百公頃嘅棕地。	據報，香港有一千二百公頃棕地。
法拉喺 「 友誼長櫈 」 同婆婆有六次療程	所以 ， 法拉艾在長椅上接受了 傑克阿嬤的六次治療 。
不准燒烤	禁止燒烤
一生一世	一生一世的
你癲咗呀？	你神經病啊？
佢用唔同嘅名目出公數食飯。	他以不同的藉口申請報銷餐費。
喺 2004 年開始 每一位上任嘅將軍都話 " 我接手咗一個慘淡嘅局面 但最終當我有 適合嘅資源同啱嘅策略 會創造出 " 用 Barno 將軍喺 2004 年嘅原話 “ 決定性嘅一年 ”	從膽 2004 開始 每個將軍都說 我承接著了一個慘淡的局勢 但終於有了對的資源和正確的策略 將帶來 套一句Barno將軍在 2004 年的話 決定性的一 年
